2026-04-10 16:39:30 | GET | meus_planos/itens
rias
2026-04-10 16:42:40 | GET | meus_planos/categorias
2026-04-10 16:42:42 | OPTIONS | meus_planos/itens/4
2026-04-10 16:42:42 | PUT | meus_planos/itens/4
2026-04-10 16:42:42 | OPTIONS | meus_planos/itens/4
2026-04-10 16:42:42 | PUT | meus_planos/itens/4
2026-04-10 16:42:42 | OPTIONS | meus_planos/itens/4
2026-04-10 16:42:42 | PUT | meus_planos/itens/4
2026-04-10 16:42:43 | OPTIONS | meus_planos/itens/4
2026-04-10 16:42:43 | PUT | meus_planos/itens/4
2026-04-10 16:42:44 | OPTIONS | meus_planos/itens/4
2026-04-10 16:42:44 | PUT | meus_planos/itens/4
2026-04-10 16:42:44 | OPTIONS | meus_planos/itens/2
2026-04-10 16:42:44 | PUT | meus_planos/itens/2
2026-04-10 16:42:45 | OPTIONS | meus_planos/itens/2
2026-04-10 16:42:45 | PUT | meus_planos/itens/2
2026-04-10 16:43:56 | GET | meus_planos/itens
rias
2026-04-10 16:43:58 | OPTIONS | meus_planos/itens/4
2026-04-10 16:43:58 | PUT | meus_planos/itens/4
2026-04-10 16:43:58 | OPTIONS | meus_planos/itens/4
2026-04-10 16:43:58 | PUT | meus_planos/itens/4
2026-04-10 16:43:59 | OPTIONS | meus_planos/itens/4
2026-04-10 16:43:59 | PUT | meus_planos/itens/4
2026-04-10 16:43:59 | OPTIONS | meus_planos/itens/4
2026-04-10 16:43:59 | PUT | meus_planos/itens/4
2026-04-10 16:44:00 | OPTIONS | meus_planos/itens/4
2026-04-10 16:44:00 | PUT | meus_planos/itens/4
2026-04-10 16:44:00 | OPTIONS | meus_planos/itens/4
2026-04-10 16:44:00 | PUT | meus_planos/itens/4
2026-04-10 16:44:19 | GET | meus_planos/categorias
2026-04-10 16:44:21 | OPTIONS | meus_planos/itens/4
2026-04-10 16:44:21 | PUT | meus_planos/itens/4
2026-04-10 16:44:22 | OPTIONS | meus_planos/itens/4
2026-04-10 16:44:22 | PUT | meus_planos/itens/4
2026-04-10 16:44:40 | GET | meus_planos/itens
rias
2026-04-10 16:44:41 | OPTIONS | meus_planos/itens/4
2026-04-10 16:44:41 | PUT | meus_planos/itens/4
2026-04-10 16:44:42 | OPTIONS | meus_planos/itens/4
2026-04-10 16:44:42 | PUT | meus_planos/itens/4
2026-04-10 16:44:42 | OPTIONS | meus_planos/itens/4
2026-04-10 16:44:42 | PUT | meus_planos/itens/4
2026-04-10 16:44:42 | OPTIONS | meus_planos/itens/4
2026-04-10 16:44:42 | PUT | meus_planos/itens/4
2026-04-10 16:44:43 | OPTIONS | meus_planos/itens/4
2026-04-10 16:44:43 | PUT | meus_planos/itens/4
2026-04-10 16:44:43 | OPTIONS | meus_planos/itens/4
2026-04-10 16:44:43 | PUT | meus_planos/itens/4
2026-04-10 16:45:01 | GET | meus_planos/categorias
2026-04-10 16:45:01 | GET | meus_planos/itens
2026-04-10 16:45:03 | OPTIONS | meus_planos/itens/4
2026-04-10 16:45:03 | PUT | meus_planos/itens/4
2026-04-10 16:45:04 | OPTIONS | meus_planos/itens/4
2026-04-10 16:45:04 | PUT | meus_planos/itens/4
2026-04-10 16:45:05 | OPTIONS | meus_planos/itens/2
2026-04-10 16:45:05 | PUT | meus_planos/itens/2
2026-04-10 16:45:05 | OPTIONS | meus_planos/itens/2
2026-04-10 16:45:05 | PUT | meus_planos/itens/2
2026-04-10 16:45:06 | OPTIONS | meus_planos/itens/2
2026-04-10 16:45:06 | PUT | meus_planos/itens/2
2026-04-10 16:45:06 | OPTIONS | meus_planos/itens/4
2026-04-10 16:45:06 | PUT | meus_planos/itens/4
2026-04-10 16:45:07 | OPTIONS | meus_planos/itens/4
2026-04-10 16:45:07 | PUT | meus_planos/itens/4
2026-04-10 16:45:08 | OPTIONS | meus_planos/itens/2
2026-04-10 16:45:08 | PUT | meus_planos/itens/2
2026-04-10 16:45:51 | GET | meus_planos/itens
rias
2026-04-10 16:45:52 | OPTIONS | meus_planos/itens/4
2026-04-10 16:45:52 | PUT | meus_planos/itens/4
2026-04-10 16:45:53 | OPTIONS | meus_planos/itens/2
2026-04-10 16:45:53 | PUT | meus_planos/itens/2
2026-04-10 16:45:55 | OPTIONS | meus_planos/itens/2
2026-04-10 16:45:55 | PUT | meus_planos/itens/2
2026-04-10 16:45:55 | OPTIONS | meus_planos/itens/4
2026-04-10 16:45:55 | PUT | meus_planos/itens/4
2026-04-10 16:46:13 | GET | meus_planos/itens
rias
2026-04-10 16:46:14 | OPTIONS | meus_planos/itens/4
2026-04-10 16:46:14 | PUT | meus_planos/itens/4
2026-04-10 16:46:15 | OPTIONS | meus_planos/itens/2
2026-04-10 16:46:15 | PUT | meus_planos/itens/2
2026-04-10 16:46:19 | OPTIONS | meus_planos/itens/2
2026-04-10 16:46:19 | PUT | meus_planos/itens/2
2026-04-10 16:46:19 | OPTIONS | meus_planos/itens/4
2026-04-10 16:46:19 | PUT | meus_planos/itens/4
2026-04-10 16:46:32 | GET | meus_planos/itens
rias
2026-04-10 16:46:33 | OPTIONS | meus_planos/itens/4
2026-04-10 16:46:33 | PUT | meus_planos/itens/4
2026-04-10 16:46:34 | OPTIONS | meus_planos/itens/2
2026-04-10 16:46:34 | PUT | meus_planos/itens/2
2026-04-10 16:46:35 | OPTIONS | meus_planos/itens/4
